한국어 단어,English Word,汉语单词,汉语拼音,Image
현실적,realistic; practical; probable,现实的,xiànshíde,
장단점,strengths and weaknesses; pros and cons,优缺点,yōuquēdiǎn,
곱다,beautiful,美，美丽,měi，měilì,
오해,misunderstanding,误解，误会,wùjiě，wùhuì,
어긋나다,be dislocated; be out of joint,错位,cuòwèi,
저지르다,commit; make,惹事，闯祸,rěshì，chuǎnghuò,
빠뜨리다,drop; let fall into,使落入，使掉进,shǐluòrù，shǐdiàojìn,
핑계,excuse,借口，说辞,jièkǒu，shuōcí,
착각,illusion; delusion,错觉，误认,cuòjué，wùrèn,
망치다,ruin; spoil,搞砸，毁灭,gǎozá，huǐmiè,
어떡하다,eotteokada,(无对应词汇),(wúduìyìngcíhuì),
어기다,break; infringe; disobey,违反，违背,wéifǎn，wéibèi,
순간,moment,瞬间，刹那,shùnjiān，chànà,
엉망,mess; disaster; chaos,杂乱，混杂,záluàn，hùnzá,
장난,game; joke,闹着玩，开玩笑,nàozhewán，kāiwánxiào,
구멍,hole; pit,窟窿，洞，孔,kūlóng，dòng，kǒng,
순식간,instant; moment,瞬息间，刹那间,shùnxījiān，chànàjiān,
용서,forgiveness; mercy,饶恕，宽恕，原谅,ráoshù，kuānshù，yuánliàng,
부주의,carelessness,不注意，疏忽大意,bùzhùyì，shūhūdàyì,
순간적,being momentary,瞬间的，刹那间的,shùnjiānde，chànàjiānde,
엉터리,nonsense; absurdity; sham,荒唐，荒唐的人,huāngtáng，huāngtángderén,
순간적,momentary,瞬间的，刹那间的,shùnjiānde，chànàjiānde,
유창하다,fluent,流畅，流利,liúchàng，liúlì,
한국어,Korean; Korean language,韩国语，韩语,hánguóyǔ，hányǔ,
한국말,Korean; Korean language,韩国语，韩语,hánguóyǔ，hányǔ,
속담,adage; old saying; proverb,俗语，谚语,súyǔ，yànyǔ,
어휘,vocabulary; stock of words; lexicon,词汇,cíhuì,
억양,intonation; accent,语调，抑扬,yǔdiào，yìyáng,
반말,informal speech,平语， 非敬阶用语,píngyǔ， fēijìngjiēyòngyǔ,
일석이조,killing two birds with one stone,一石二鸟，一举两得,yīshí'èrniǎo，yījǔliǎngdé,
국어,official language; native language,国语,guóyǔ,
높임말,honorific,敬语，敬称,jìngyǔ，jìngchēng,
문법,grammar,语法,yǔfǎ,
반대말,antonym,反义词,fǎnyìcí,
발음,pronunciation,发音,fāyīn,
