korean_word,english_translation,mandarin_translation,mandarin_pinyin,category,difficulty
요금,fare; fee; charge,费用，收费，资费,fèiyòng，shōufèi，zīfèi,공공 기관 이용하기(우체국)|교통 이용하기,1
출입,going in and out; entry,出入,chūrù,공공 기관 이용하기(출입국 관리 사무소),1
출입국,departure; entry,出入境,chūrùjìng,공공 기관 이용하기(출입국 관리 사무소),1
내리다,fall; descend,下，落,xià，luò,교통 이용하기,1
걸리다,hang,被挂,bèiguà,교통 이용하기,1
타다,ride; get on; board,乘，乘坐,chéng，chéngzuò,교통 이용하기,1
얼마나,how,多么,duōme,교통 이용하기,1
갈아타다,transfer; transship,换乘，倒,huànchéng，dào,교통 이용하기,1
거리,distance; length,距离,jùlí,교통 이용하기,1
막히다,be blocked; be closed; be clogged,被堵住，受阻,bèidǔzhù，shòuzǔ,교통 이용하기,1
거리,street; road; avenue,大街，街头，马路,dàjiē，jiētóu，mǎlù,교통 이용하기,1
멈추다,stop doing; quit,停，止,tíng，zhǐ,교통 이용하기,1
기차,train,火车，列车,huǒchē，lièchē,교통 이용하기,1
도로,road,道路，公路,dàolù，gōnglù,교통 이용하기,1
비행기,plane; airplane,飞机,fēijī,교통 이용하기,1
교통,transportation; traffic,交通,jiāotōng,교통 이용하기,1
차,car; automobile; vehicle,车，车辆,chē，chēliàng,교통 이용하기,1
버스,bus,公共汽车，公交车,gōnggòngqìchē，gōngjiāochē,교통 이용하기,1
대,dae,辆，架，台,liàng，jià，tái,교통 이용하기,1
자동차,car; automobile,汽车,qìchē,교통 이용하기,1
위험,danger; hazard,危险,wēixiǎn,교통 이용하기,1
자전거,bicycle,自行车,zìxíngchē,교통 이용하기,1
교통사고,traffic accident; car crash,交通事故,jiāotōngshìgù,교통 이용하기,1
배,boat; ship; vessel,船,chuán,교통 이용하기,1
역,station; stop ,驿，站,yì，zhàn,교통 이용하기,1
지하철,subway,地铁,dìtiě,교통 이용하기,1
공항,airport,机场,jīchǎng,교통 이용하기,1
이용,use; utilization,使用,shǐyòng,교통 이용하기,1
출발,departure; leaving,出发,chūfā,교통 이용하기,1
택시,taxi; cab,出租车,chūzūchē,교통 이용하기,1
지하도,underground tunnel,地下道，地道,dìxiàdào，dìdào,교통 이용하기,1
다리,bridge,桥，桥梁,qiáo，qiáoliáng,교통 이용하기,1
운전,driving; operation,驾驶，操纵，开,jiàshǐ，cāozòng，kāi,교통 이용하기,1
고속버스,express bus,高速大巴，高速巴士,gāosùdàbā，gāosùbāshì,교통 이용하기,1
신호등,traffic light; traffic signal,交通信号灯，红绿灯,jiāotōngxìnhàodēng，hónglǜdēng,교통 이용하기,1
열차,train,列车,lièchē,교통 이용하기,1
정류장,stop,车站,chēzhàn,교통 이용하기,1
주차,parking,停车，停放车辆,tíngchē，tíngfàngchēliàng,교통 이용하기,1
정거장,stop; station,车站,chēzhàn,교통 이용하기,1
교통비,fare; transportation expense,交通费，车费,jiāotōngfèi，chēfèi,교통 이용하기,1
전철,subway; subway train; metro,轻轨,qīngguǐ,교통 이용하기,1
지하철역,subway station,地铁站,dìtiězhàn,교통 이용하기,1
주차장,parking lot,停车场,tíngchēchǎng,교통 이용하기,1
터미널,terminal,总站,zǒngzhàn,교통 이용하기,1
기차표,train ticket,火车票,huǒchēpiào,교통 이용하기,1
운전사,driver; operator,驾驶员，司机,jiàshǐyuán，sījī,교통 이용하기,1
기차역,train station,火车站,huǒchēzhàn,교통 이용하기,1
항공,aviation; air,航空,hángkōng,교통 이용하기,1
항공권,airline ticket; flight ticket,机票，飞机票,jīpiào，fēijīpiào,교통 이용하기,1
트럭,truck,卡车，货车,kǎchē，huòchē,교통 이용하기,1
나오다,come out; get out,出，出来,chū，chūlái,길찾기,1
보이다,be viewed; be visible; be in sight,让看见,ràngkànjiàn,길찾기,1
나가다,go out; leave,出，出去,chū，chūqù,길찾기,1
길,road; street; way,路，道，道路,lù，dào，dàolù,길찾기,1
가깝다,near; close; adjacent,近,jìn,길찾기,1
내려가다,go down; step down; descend,下去，下行,xiàqù，xiàxíng,길찾기,1
걸어오다,walk; come on foot,走来，走过来,zǒulái，zǒuguòlái,길찾기,1
걸어가다,walk; tread; stride,走去，走过去,zǒuqù，zǒuguòqù,길찾기,1
보이다,show; reveal,让看见,ràngkànjiàn,길찾기,1
묻다,ask; inquire; interrogate,问,wèn,길찾기,1
물어보다,ask; inquire; interrogate,问，打听,wèn，dǎtīng,길찾기,1
건너가다,cross; go across,过，跨过，渡过,guò，kuàguò，dùguò,길찾기,1
건너다,cross; go across,过，跨过，渡过,guò，kuàguò，dùguò,길찾기,1
도착,arrival,到达,dàodá,길찾기,1
횡단보도,crosswalk; crossing ,人行横道，斑马线,rénxínghéngdào，bānmǎxiàn,길찾기,1
건너편,opposite side,对面,duìmiàn,길찾기,1
입구,entrance; entry; gate,入口,rùkǒu,길찾기,1
사거리,crossroads; intersection; street corner,十字路口,shízìlùkǒu,길찾기,1
육교,overpass,天桥，立交桥,tiānqiáo，lìjiāoqiáo,길찾기,1
삼거리,three-way crossing; intersection of three streets,三岔路,sānchàlù,길찾기,1
시원하다,cool,凉爽，凉快,liángshuǎng，liángkuài,날씨와 계절,1
나쁘다,bad,不良，坏,bùliáng，huài,날씨와 계절,1
맑다,clean; clear,清澈，明澈,qīngchè，míngchè,날씨와 계절,1
그치다,stop,停止，结束,tíngzhǐ，jiéshù,날씨와 계절,1
뜨겁다,hot,烫，热,tàng，rè,날씨와 계절,1
쌀쌀하다,chilly; rather cold,凉飕飕,liángsōusōu,날씨와 계절,1
바람,wind,风,fēng,날씨와 계절,1
따뜻하다,warm,暖和,nuǎnhuo,날씨와 계절,1
구름,cloud,云，云彩,yún，yúncǎi,날씨와 계절,1
얼다,freeze,冻结，冻,dòngjié，dòng,날씨와 계절,1
덥다,hot,热，暑,rè，shǔ,날씨와 계절,1
불다,blow,刮，吹,guā，chuī,날씨와 계절,1
눈,snow,雪,xuě,날씨와 계절,1
춥다,cold,冷,lěng,날씨와 계절,1
차갑다,cold,凉，冰凉,liáng，bīngliáng,날씨와 계절,1
겨울,winter,冬天，冬季,dōngtiān，dōngjì,날씨와 계절,1
봄,spring,春，春天，春季,chūn，chūntiān，chūnjì,날씨와 계절,1
계절,season,季节，季,jìjié，jì,날씨와 계절,1
가을,fall,秋天，秋季,qiūtiān，qiūjì,날씨와 계절,1
비,rain,雨,yǔ,날씨와 계절,1
날씨,weather,天气,tiānqì,날씨와 계절,1
푸르다,blue; green,蓝，绿,lán，lǜ,날씨와 계절,1
태풍,typhoon,台风,táifēng,날씨와 계절,1
여름,summer,夏，夏天，夏季,xià，xiàtiān，xiàjì,날씨와 계절,1
안개,fog; mist; haze,雾，雾气,wù，wùqì,날씨와 계절,1
차다,cold,冷，寒冷，凉，冰凉,lěng，hánlěng，liáng，bīngliáng,날씨와 계절,1
기온,air temperature,气温,qìwēn,날씨와 계절,1
선선하다,cool; refreshing,凉丝丝，凉爽,liángsīsī，liángshuǎng,날씨와 계절,1
온도,temperature,温度,wēndù,날씨와 계절,1
장마,monsoon; monsoon season,梅雨,méiyǔ,날씨와 계절,1
사계절,four seasons,四季,sìjì,날씨와 계절,1
영하,temperature below zero,零下,língxià,날씨와 계절,1
날,day,天，日,tiān，rì,날짜 표현하기,1
오늘,today,今天，今日,jīntiān，jīnrì,날짜 표현하기,1
요즘,nowadays; these days,最近，近来，这阵子,zuìjìn，jìnlái，zhèzhènzi,날짜 표현하기,1
달,moon,月，月亮，月球,yuè，yuèliàng，yuèqiú,날짜 표현하기,1
며칠,date,哪天,nǎtiān,날짜 표현하기,1
지난주,last week,上周,shàngzhōu,날짜 표현하기,1
매일,everyday,每日，天天,měirì，tiāntiān,날짜 표현하기,1
날짜,days,日子，时日,rìzi，shírì,날짜 표현하기,1
내일,days to come; future,明天，明日,míngtiān，míngrì,날짜 표현하기,1
그저께,the day before yesterday,前天,qiántiān,날짜 표현하기,1
올해,this year,今年,jīnnián,날짜 표현하기,1
년,nyeon,年,nián,날짜 표현하기,1
개월,month,个月,gèyuè,날짜 표현하기,1
모레,day after tomorrow,后天,hòutiān,날짜 표현하기,1
새해,new year,新年,xīnnián,날짜 표현하기,1
지난달,last month,上月，上个月,shàngyuè，shànggèyuè,날짜 표현하기,1
그날,that day; the day,那天，那日,nàtiān，nàrì,날짜 표현하기,1
작년,last year,去年,qùnián,날짜 표현하기,1
연말,end of the year,年末，年尾，岁末，年终,niánmò，niánwěi，suìmò，niánzhōng,날짜 표현하기,1
월,month; being monthly,月,yuè,날짜 표현하기,1
달,month,月,yuè,날짜 표현하기,1
이틀,(no equivalent expression),两天,liǎngtiān,날짜 표현하기,1
일주일,one week; a week,一周，一星期,yīzhōu，yīxīngqī,날짜 표현하기,1
오늘,today,今天,jīntiān,날짜 표현하기,1
내일,tomorrow,明天,míngtiān,날짜 표현하기,1
일,one,一,yī,날짜 표현하기,1
월,month,月,yuè,날짜 표현하기,1
매일,every day; every single day,天天，每日,tiāntiān，měirì,날짜 표현하기,1
일,il,日,rì,날짜 표현하기,1
사흘,three days,三天,sāntiān,날짜 표현하기,1
유월,June,六月,liùyuè,날짜 표현하기,1
나흘,four days,四天,sìtiān,날짜 표현하기,1
내년,next year,明年，来年,míngnián，láinián,날짜 표현하기,1
일,day,一日,yīrì,날짜 표현하기,1
십이월,December,十二月,shí'èryuè,날짜 표현하기,1
다음날,someday,改天，下次，以后，回头,gǎitiān，xiàcì，yǐhòu，huítóu,날짜 표현하기,1
그저께,the day before yesterday,前天,qiántiān,날짜 표현하기,1
날,nal,天,tiān,날짜 표현하기,1
일월,January,一月,yíyuè,날짜 표현하기,1
매달,every month,每月，月月,měiyuè，yuèyuè,날짜 표현하기,1
지난해,last year,去年,qùnián,날짜 표현하기,1
열흘,ten days,十天,shítiān,날짜 표현하기,1
매주,being weekly,每周，每星期,měizhōu，měixīngqī,날짜 표현하기,1
이월,February,二月,èryuè,날짜 표현하기,1
매주,every week,每周,měizhōu,날짜 표현하기,1
구월,September,九月,jiǔyuè,날짜 표현하기,1
매년,being annual,每年，年年,měinián，niánnián,날짜 표현하기,1
모레,the day after tomorrow,后天,hòutiān,날짜 표현하기,1
이날,that day; this day,这天，那日,zhètiān，nàrì,날짜 표현하기,1
십일월,November,十一月,shíyīyuè,날짜 표현하기,1
시월,October,十月,shíyuè,날짜 표현하기,1
팔월,August,八月,bāyuè,날짜 표현하기,1
매달,being monthly,每月，月月,měiyuè，yuèyuè,날짜 표현하기,1
일,one,一,yī,날짜 표현하기,1
사월,April,四月,sìyuè,날짜 표현하기,1
매년,year by year; annually,每年，年年,měinián，niánnián,날짜 표현하기,1
삼월,March,三月,sānyuè,날짜 표현하기,1
오월,May,五月,wǔyuè,날짜 표현하기,1
칠월,July,七月,qīyuè,날짜 표현하기,1
들다,come in; get in; enter,进去，进入,jìnqù，jìnrù,물건 사기,1
가지다,have; hold,持，带，戴,chí，dài，dài,물건 사기,1
값,price,价格，价钱,jiàgé，jiàqián,물건 사기,1
가게,shop; store,店，店铺，商店,diàn，diànpù，shāngdiàn,물건 사기,1
다르다,different; other,不同，不一致,bùtóng，bùyīzhì,물건 사기,1
고르다,choose; select,挑选,tiāoxuǎn,물건 사기,1
가격,price,价格，价钱,jiàgé，jiàqián,물건 사기,1
개,gae,个,gè,물건 사기,1
크다,big; large,大，高，长，壮阔,dà，gāo，zhǎng，zhuàngkuò,물건 사기,1
작다,small; little,小， 矮,xiǎo， ǎi,물건 사기,1
팔리다,be sold,被卖掉，被卖出,bèimàidiào，bèimàichū,물건 사기,1
팔다,sell,卖，出售,mài，chūshòu,물건 사기,1
돈,money,钱，金钱，钱币,qián，jīnqián，qiánbì,물건 사기,1
무료,free; no charge; complimentary,免费,miǎnfèi,물건 사기,1
크다,grow,长，成长，生长,zhǎng，chéngzhǎng，shēngzhǎng,물건 사기,1
계산,calculation,计算,jìsuàn,물건 사기,1
싸다,cheap,便宜，贱,piányi，jiàn,물건 사기,1
여기,here; this,这里，这儿,zhèlǐ，zhè'ér,물건 사기,1
비싸다,expensive; costly,贵,guì,물건 사기,1
얼마,what amount; what number; what price,多少,duōshǎo,물건 사기,1
마트,mart,大超市,dàchāoshì,물건 사기,1
물건,article; thing; item; goods,东西，物品，物件,dōngxī，wùpǐn，wùjiàn,물건 사기,1
시장,market,市场,shìchǎng,물건 사기,1
교환,exchange,调换，交换,diàohuàn，jiāohuàn,물건 사기,1
할인,discount; reduction,打折，折扣，优惠，减价，降价,dǎzhé，zhékòu，yōuhuì，jiǎnjià，jiàngjià,물건 사기,1
손님,visitor; caller; guest,客，客人,kè，kèrén,물건 사기,1
공짜,something gained free of charge,白，免费,bái，miǎnfèi,물건 사기,1
상품,product; goods,商品,shāngpǐn,물건 사기,1
과일,fruit,水果,shuǐguǒ,물건 사기,1
원,won,韩元，韩币,hányuán，hánbì,물건 사기,1
백화점,department store,百货商店,bǎihuòshāngdiàn,물건 사기,1
영수증,receipt,发票,fāpiào,물건 사기,1
주인,owner,主人，物主,zhǔrén，wùzhǔ,물건 사기,1
종업원,employee; staff,员工,yuángōng,물건 사기,1
선택,choice; selection,选择,xuǎnzé,물건 사기,1
동전,coin,硬币，钢镚，铜钱,yìngbì，gāngbèng，tóngqián,물건 사기,1
서점,bookstore,书店,shūdiàn,물건 사기,1
쇼핑,shopping,购物,gòuwù,물건 사기,1
슈퍼마켓,supermarket; grocery store,超市,chāoshì,물건 사기,1
편의점,convenience store,便利店，超市,biànlìdiàn，chāoshì,물건 사기,1
포장,wrapping; gift-wrapping; package; packaging material,包装，打包,bāozhuāng，dǎbāo,물건 사기,1
꽃집,flower shop,花店,huādiàn,물건 사기,1
깎다,peel,削,xuē,물건 사기|요리 설명하기,1
사고,accident,事故,shìgù,병원 이용하기,1
치료,cure; treatment,治疗,zhìliáo,병원 이용하기,1
병원,hospital; clinic,医院,yīyuàn,병원 이용하기,1
주사,injection,注射,zhùshè,병원 이용하기,1
입원,hospitalization,住院,zhùyuàn,병원 이용하기,1
환자,patient; sick person,患者，病人,huànzhě，bìngrén,병원 이용하기,1
수술,surgery; operation,手术,shǒushù,병원 이용하기,1
내과,internal department,内科,nèikē,병원 이용하기,1
치과,dental surgery; dentistry; dentist’s office; dental clinic,牙科,yákē,병원 이용하기,1
퇴원,leaving the hospital; being discharged from the hospital,出院,chūyuàn,병원 이용하기,1
어울리다,harmonize,共同，协调,gòngtóng，xiétiáo,복장 표현하기,1
끼다,stick in; fasten,插，夹，掖,chā，jiā，yē,복장 표현하기,1
입다,wear; be dressed; put on,穿,chuān,복장 표현하기,1
매다,tie; bind; lace,系，绑,xì，bǎng,복장 표현하기,1
메다,shoulder; carry on one's shoulder,背，扛,bèi，káng,복장 표현하기,1
벗다,take off,脱下，摘下,tuōxià，zhāixià,복장 표현하기,1
옷,clothes; garment,衣服，衣裳，服装,yīfú，yīshang，fúzhuāng,복장 표현하기,1
쓰다,wear; put on,戴,dài,복장 표현하기,1
갈아입다,change one's clothes,换，换穿,huàn，huànchuān,복장 표현하기,1
가방,bag,包，背包，提包,bāo，bēibāo，tíbāo,복장 표현하기,1
화려하다,colorful; flashy; splendid,华丽,huálì,복장 표현하기,1
모자,hat,帽子,màozi,복장 표현하기,1
유행,outbreak,流行,liúxíng,복장 표현하기,1
구두,shoes,皮鞋,píxié,복장 표현하기,1
안경,glasses; spectacles,眼镜,yǎnjìng,복장 표현하기,1
주머니,pouch,口袋，袋子,kǒudài，dàizi,복장 표현하기,1
신다,put on; wear,穿,chuān,복장 표현하기,1
색깔,color; hue; tint,颜色，色彩,yánsè，sècǎi,복장 표현하기,1
우산,umbrella; parasol,雨伞,yǔsǎn,복장 표현하기,1
차다,wear,系，挎，扣，戴，佩戴,xì，kuà，kòu，dài，pèidài,복장 표현하기,1
벌,beol,件,jiàn,복장 표현하기,1
신발,shoes; footwear,鞋,xié,복장 표현하기,1
멋,stylishness; being fashionable; being chic,风姿，风度，气质,fēngzī，fēngdù，qìzhì,복장 표현하기,1
반지,ring,戒指,jièzhǐ,복장 표현하기,1
귀걸이,earrings,耳环，耳坠,ěrhuán，ěrzhuì,복장 표현하기,1
목걸이,necklace,项链,xiàngliàn,복장 표현하기,1
지갑,wallet; purse,钱包，钱夹，钱袋,qiánbāo，qiánjiā，qiándài,복장 표현하기,1
장갑,glove,手套,shǒutào,복장 표현하기,1
목도리,scarf,围巾,wéijīn,복장 표현하기,1
티셔츠,T-shirt,T恤,Txù,복장 표현하기,1
한복,hanbok,韩服,hánfú,복장 표현하기,1
바지,pants,裤子,kùzi,복장 표현하기,1
넥타이,necktie,领带，领结,lǐngdài，lǐngjié,복장 표현하기,1
단추,button,扣子，纽扣,kòuzi，niǔkòu,복장 표현하기,1
